385	120	1
404	124	1
336	152	1
304	189	1
471	205	1
495	205	1
374	317	1
311	374	1
42	400	1
491	414	1
63	531	1
13	569	1
283	572	1
302	583	1
184	649	1
445	690	1
485	751	1
189	802	1
403	885	1
301	892	1
436	900	1
22	944	1
214	956	1
81	993	1
18	1067	1
7	1075	1
269	1098	1
297	1138	1
315	1159	1
69	1161	1
273	1173	1
344	1176	1
439	1201	1
238	1202	1
42	1222	1
124	1244	1
323	1260	1
85	1398	1
56	1427	1
11	1523	1
73	1535	1
471	1566	1
117	1608	1
299	1620	1
231	1636	1
7	1717	1
72	1750	1
199	1808	1
171	1832	1
457	1876	1
238	1942	1
253	1994	1
292	2000	1
288	2069	1
216	2072	1
203	2133	1
8	2262	1
420	2269	1
110	2287	1
71	2311	1
475	2346	1
35	2420	1
335	2507	1
357	2532	1
271	2577	1
489	2634	1
134	2684	1
46	2685	1
92	2792	1
135	2817	1
475	2864	1
470	2916	1
212	2934	1
226	2995	1
70	3011	1
367	3031	1
42	3072	1
405	3097	1
382	3161	1
362	3187	1
317	3322	1
57	3339	1
105	3412	1
495	3509	1
466	3591	1
74	3610	1
298	3714	1
205	3800	1
341	3824	1
219	3920	1
321	3940	1
427	3961	1
123	3983	1
351	3995	1
406	4055	1
432	53	0
421	70	0
261	74	0
296	124	0
172	188	0
108	248	0
306	253	0
24	278	0
160	369	0
121	398	0
391	405	0
41	421	0
250	465	0
352	556	0
432	616	0
393	628	0
359	757	0
73	774	0
332	889	0
288	915	0
70	968	0
387	994	0
254	1017	0
96	1131	0
40	1144	0
422	1245	0
355	1269	0
28	1285	0
238	1296	0
445	1369	0
160	1419	0
12	1500	0
470	1509	0
83	1661	0
93	1664	0
68	1688	0
461	1744	0
294	1782	0
56	1837	0
196	2029	0
51	2232	0
486	2458	0
435	2577	0
457	2638	0
266	2702	0
361	2713	0
288	2809	0
118	2993	0
311	3052	0
116	3165	0
216	3233	0
277	3282	0
85	3298	0
193	3400	0
223	3451	0
174	3654	0
172	3710	0
373	3769	0
264	3803	0
44	3899	0
94	3967	0
377	4008	0
57	4230	0
85	4240	0
414	4242	0
416	4300	0
269	4304	0
294	4308	0
416	4309	0
491	4417	0
222	4417	0
366	4418	0
216	4437	0
403	4463	0
