382,3161,1,,,,,,,2025,0.4084,0.65,0.7929,,,,
362,3187,1,,,,,,,2050,0.4122,0.6545,0.7969,,,,
317,3322,1,,,,,,,2075,0.416,0.6589,0.8008,,,,
57,3339,1,,,,,,,2100,0.4197,0.6633,0.8046,,,,
105,3412,1,,,,,,,2125,0.4235,0.6676,0.8084,,,,
495,3509,1,,,,,,,2150,0.4272,0.6719,0.8121,,,,
466,3591,1,,,,,,,2175,0.4309,0.6761,0.8157,,,,
74,3610,1,,,,,,,2200,0.4346,0.6803,0.8192,,,,
298,3714,1,,,,,,,2225,0.4382,0.6844,0.8227,,,,
205,3800,1,,,,,,,2250,0.4419,0.6885,0.8261,,,,
341,3824,1,,,,,,,2275,0.4455,0.6925,0.8295,,,,
219,3920,1,,,,,,,2300,0.4491,0.6965,0.8328,,,,
321,3940,1,,,,,,,2325,0.4526,0.7004,0.836,,,,
427,3961,1,,,,,,,2350,0.4562,0.7042,0.8391,,,,
123,3983,1,,,,,,,2375,0.4597,0.708,0.8422,,,,
351,3995,1,,,,,,,2400,0.4632,0.7118,0.8453,,,,
406,4055,1,,,,,,,2425,0.4666,0.7155,0.8483,,,,
432,53,0,,,,,,,2450,0.4701,0.7192,0.8512,,,,
421,70,0,,,,,,,2475,0.4735,0.7228,0.854,,,,
261,74,0,,,,,,,2500,0.4769,0.7264,0.8569,,,,
296,124,0,,,,,,,2525,0.4803,0.7299,0.8596,,,,
172,188,0,,,,,,,2550,0.4836,0.7334,0.8623,,,,
108,248,0,,,,,,,2575,0.487,0.7368,0.865,,,,
306,253,0,,,,,,,2600,0.4903,0.7402,0.8676,,,,
24,278,0,,,,,,,2625,0.4936,0.7435,0.8701,,,,
160,369,0,,,,,,,2650,0.4968,0.7468,0.8726,,,,
121,398,0,,,,,,,2675,0.5001,0.7501,0.8751,,,,
391,405,0,,,,,,,2700,0.5033,0.7533,0.8775,,,,
41,421,0,,,,,,,2725,0.5065,0.7565,0.8798,,,,
250,465,0,,,,,,,2750,0.5097,0.7596,0.8821,,,,
352,556,0,,,,,,,2775,0.5129,0.7627,0.8844,,,,
432,616,0,,,,,,,2800,0.516,0.7658,0.8866,,,,
393,628,0,,,,,,,2825,0.5192,0.7688,0.8888,,,,
359,757,0,,,,,,,2850,0.5223,0.7718,0.891,,,,
73,774,0,,,,,,,2875,0.5253,0.7747,0.8931,,,,
332,889,0,,,,,,,2900,0.5284,0.7776,0.8951,,,,
288,915,0,,,,,,,2925,0.5315,0.7805,0.8971,,,,
